Store,Dept,Date,Weekly_Sales,IsHoliday_x,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday_y,Month,Week,Year,IsHoliday
28,40,2012-01-06,50932.42,False,A,206302,50.43,3.599,5155.86,19549.51,218.29,636.73,5218.5,130.1575161,12.187,False,1,1,2012,0
18,93,2012-03-09,3196.12,False,B,120653,38.1,3.876,7410.18,368.19,25.46,1852.39,2332.07,137.5066897,8.075,False,3,10,2012,0
38,4,2011-05-27,10125.03,False,C,39690,76.67,4.087,,,,,,129.0623548,13.736,False,5,21,2011,0
29,33,2010-03-12,3311.26,False,B,93638,43.43,2.805,,,,,,131.784,10.064,False,3,10,2010,0
13,52,2010-10-29,6335.65,False,A,219622,45.12,2.841,,,,,,126.4364194,7.795,False,10,43,2010,0
13,49,2011-07-08,8971.23,False,A,219622,77.3,3.563,,,,,,129.1125,6.877,False,7,27,2011,0
12,27,2012-04-27,1575.35,False,B,112238,77.99,4.193,2936.01,336.39,26.18,613.65,740.83,131.1266667,11.627,False,4,17,2012,0
10,49,2011-09-30,17308.45,False,B,126512,82.27,3.877,,,,,,129.6060667,8.257,False,9,39,2011,0
11,33,2011-06-24,5763.39,False,A,207499,86.13,3.594,,,,,,218.45094,7.574,False,6,25,2011,0
26,82,2012-07-06,17034.57,False,A,152513,64.94,3.538,4894.97,230.0,19.39,3309.33,5437.93,138.2296333,7.405,False,7,27,2012,0
5,60,2012-09-14,252.0,False,B,34875,76.65,3.717,2027.18,4.0,4.55,1354.97,3535.01,223.1734167,5.603,False,9,37,2012,0
31,36,2011-06-10,5927.0,False,A,203750,84.71,3.648,,,,,,214.6964908,7.931,False,6,23,2011,0
19,10,2010-03-05,23193.57,False,A,203819,32.92,2.919,,,,,,131.735,8.35,False,3,9,2010,0
34,97,2012-03-02,16863.99,False,A,158114,42.74,3.619,9511.41,469.84,2.8,6593.25,4281.12,130.6457931,9.653,False,3,9,2012,0
5,5,2011-07-01,6469.61,False,B,34875,85.81,3.524,,,,,,215.7474537,6.529,False,7,26,2011,0
23,38,2011-02-04,40789.48,False,B,114533,14.5,3.24,,,,,,133.1834194,5.114,False,2,5,2011,0
34,30,2010-04-23,1996.0,False,A,158114,55.04,2.805,,,,,,126.4713333,9.593,False,4,16,2010,0
36,1,2010-02-26,1451.39,False,A,39910,50.87,2.52,,,,,,210.0771885,8.554,False,2,8,2010,0
6,28,2010-03-12,795.89,False,A,202505,58.82,2.667,,,,,,212.9037017,7.259,False,3,10,2010,0
37,97,2012-07-20,13189.29,False,C,39910,81.76,3.311,67.7,,3.97,,1634.33,220.6148749,6.623,False,7,29,2012,0
18,8,2010-12-24,46070.05,False,B,120653,28.16,3.15,,,,,,132.7477419,9.331,False,12,51,2010,0
2,46,2010-04-16,28595.87,False,A,202307,68.07,2.808,,,,,,210.1495463,8.2,False,4,15,2010,0
32,54,2012-03-09,10.0,False,A,203007,39.9,3.286,16322.3,1206.5,4.97,17697.9,4305.36,196.9631599,8.256,False,3,10,2012,0
9,90,2011-07-08,3473.7,False,B,125833,89.04,3.48,,,,,,218.8755955,6.404,False,7,27,2011,0
6,90,2012-02-17,56617.34,False,A,202505,49.03,3.51,13182.32,15299.89,12.82,6129.29,7603.05,222.026359,6.132,False,2,7,2012,0
34,35,2011-06-24,1768.0,False,A,158114,77.16,3.57,,,,,,129.0663,10.581,False,6,25,2011,0
24,93,2010-02-26,28939.62,False,A,203819,33.98,2.91,,,,,,131.686,8.326,False,2,8,2010,0
1,25,2011-10-21,9014.23,False,A,151315,63.71,3.353,,,,,,217.5159762,7.866,False,10,42,2011,0
12,11,2012-01-27,16038.56,False,B,112238,50.43,3.675,1201.31,631.79,,104.69,1050.85,130.3144516,12.187,False,1,4,2012,0
13,56,2012-10-05,3414.77,False,A,219622,61.79,3.815,6607.14,,50.6,3943.91,7700.91,131.0756667,5.621,False,10,40,2012,0
11,35,2011-01-21,2416.5,False,A,207499,51.51,3.016,,,,,,215.1268275,7.551,False,1,3,2011,0
26,41,2012-01-20,493.5,False,A,152513,15.22,3.542,1673.31,3004.75,27.82,153.3,2092.05,136.8564194,7.467,False,1,3,2012,0
24,98,2010-03-12,9837.14,False,A,203819,42.31,2.938,,,,,,131.784,8.326,False,3,10,2010,0
4,36,2012-03-23,2120.0,False,A,205863,59.07,3.759,8806.8,-10.5,5.99,739.14,4396.97,130.8966452,4.607,False,3,12,2012,0
29,9,2011-08-19,14890.55,False,B,93638,71.3,3.82,,,,,,136.183129,9.863,False,8,33,2011,0
37,96,2010-06-11,19058.62,False,C,39910,82.3,2.668,,,,,,210.2135668,8.464,False,6,23,2010,0
